sensor_id,temperature,timestamp
SENSOR_5,36.79,2026-05-04T18:15:13.704336
SENSOR_5,33.85,2026-05-04T18:15:43.704336
SENSOR_5,83.39,2026-05-04T18:16:13.704336
SENSOR_8,99.43,2026-05-04T18:16:43.704336
SENSOR_6,79.71,2026-05-04T18:17:13.704336
SENSOR_5,34.93,2026-05-04T18:17:43.704336
SENSOR_3,39.74,2026-05-04T18:18:13.704336
SENSOR_1,22.99,2026-05-04T18:18:43.704336
SENSOR_10,54.09,2026-05-04T18:19:13.704336
SENSOR_7,64.56,2026-05-04T18:19:43.704336
SENSOR_4,50.98,2026-05-04T18:20:13.704336
SENSOR_10,72.61,2026-05-04T18:20:43.704336
SENSOR_6,43.32,2026-05-04T18:21:13.704336
SENSOR_5,34.27,2026-05-04T18:21:43.704336
SENSOR_8,68.37,2026-05-04T18:22:13.704336
SENSOR_2,75.08,2026-05-04T18:22:43.704336
SENSOR_9,99.17,2026-05-04T18:23:13.704336
SENSOR_8,64.56,2026-05-04T18:23:43.704336
SENSOR_1,48.03,2026-05-04T18:24:13.704336
SENSOR_1,32.95,2026-05-04T18:24:43.704336
SENSOR_7,56.03,2026-05-04T18:25:13.704336
SENSOR_10,36.21,2026-05-04T18:25:43.704336
SENSOR_4,44.81,2026-05-04T18:26:13.704336
SENSOR_1,91.05,2026-05-04T18:26:43.704336
SENSOR_9,76.08,2026-05-04T18:27:13.704336
SENSOR_6,32.12,2026-05-04T18:27:43.704336
SENSOR_1,91.61,2026-05-04T18:28:13.704336
SENSOR_8,23.72,2026-05-04T18:28:43.704336
SENSOR_7,80.55,2026-05-04T18:29:13.704336
SENSOR_6,79.17,2026-05-04T18:29:43.704336
SENSOR_7,47.64,2026-05-04T18:30:13.704336
SENSOR_2,93.97,2026-05-04T18:30:43.704336
SENSOR_7,29.42,2026-05-04T18:31:13.704336
SENSOR_1,30.97,2026-05-04T18:31:43.704336
SENSOR_7,32.64,2026-05-04T18:32:13.704336
SENSOR_4,86.2,2026-05-04T18:32:43.704336
SENSOR_2,57.93,2026-05-04T18:33:13.704336
SENSOR_6,53.95,2026-05-04T18:33:43.704336
SENSOR_6,23.69,2026-05-04T18:34:13.704336
SENSOR_2,54.44,2026-05-04T18:34:43.704336
SENSOR_6,88.6,2026-05-04T18:35:13.704336
SENSOR_10,48.01,2026-05-04T18:35:43.704336
SENSOR_6,57.48,2026-05-04T18:36:13.704336
SENSOR_5,56.81,2026-05-04T18:36:43.704336
SENSOR_1,39.77,2026-05-04T18:37:13.704336
SENSOR_7,24.91,2026-05-04T18:37:43.704336
SENSOR_2,47.17,2026-05-04T18:38:13.704336
SENSOR_1,90.1,2026-05-04T18:38:43.704336
SENSOR_9,96.24,2026-05-04T18:39:13.704336
SENSOR_10,65.32,2026-05-04T18:39:43.704336
SENSOR_10,63.26,2026-05-04T18:40:13.704336
SENSOR_10,65.34,2026-05-04T18:40:43.704336
SENSOR_8,72.11,2026-05-04T18:41:13.704336
SENSOR_2,84.78,2026-05-04T18:41:43.704336
SENSOR_7,56.2,2026-05-04T18:42:13.704336
SENSOR_3,20.26,2026-05-04T18:42:43.704336
SENSOR_1,68.31,2026-05-04T18:43:13.704336
SENSOR_4,22.1,2026-05-04T18:43:43.704336
SENSOR_5,31.74,2026-05-04T18:44:13.704336
SENSOR_4,97.28,2026-05-04T18:44:43.704336
SENSOR_9,52.51,2026-05-04T18:45:13.704336
SENSOR_4,35.06,2026-05-04T18:45:43.704336
SENSOR_4,29.03,2026-05-04T18:46:13.704336
SENSOR_4,22.49,2026-05-04T18:46:43.704336
SENSOR_10,27.12,2026-05-04T18:47:13.704336
SENSOR_1,83.95,2026-05-04T18:47:43.704336
SENSOR_9,34.4,2026-05-04T18:48:13.704336
SENSOR_9,39.34,2026-05-04T18:48:43.704336
SENSOR_9,20.88,2026-05-04T18:49:13.704336
SENSOR_10,72.89,2026-05-04T18:49:43.704336
SENSOR_10,38.75,2026-05-04T18:50:13.704336
SENSOR_7,70.33,2026-05-04T18:50:43.704336
SENSOR_1,36.29,2026-05-04T18:51:13.704336
SENSOR_5,42.31,2026-05-04T18:51:43.704336
SENSOR_6,62.55,2026-05-04T18:52:13.704336
SENSOR_7,89.75,2026-05-04T18:52:43.704336
SENSOR_5,28.02,2026-05-04T18:53:13.704336
SENSOR_2,93.07,2026-05-04T18:53:43.704336
SENSOR_9,89.13,2026-05-04T18:54:13.704336
SENSOR_6,94.42,2026-05-04T18:54:43.704336
SENSOR_2,95.2,2026-05-04T18:55:13.704336
SENSOR_8,24.38,2026-05-04T18:55:43.704336
SENSOR_1,89.47,2026-05-04T18:56:13.704336
SENSOR_3,50.78,2026-05-04T18:56:43.704336
SENSOR_1,93.63,2026-05-04T18:57:13.704336
SENSOR_10,68.52,2026-05-04T18:57:43.704336
SENSOR_2,91.84,2026-05-04T18:58:13.704336
SENSOR_2,57.87,2026-05-04T18:58:43.704336
SENSOR_9,92.08,2026-05-04T18:59:13.704336
SENSOR_6,96.5,2026-05-04T18:59:43.704336
SENSOR_10,69.8,2026-05-04T19:00:13.704336
SENSOR_3,45.62,2026-05-04T19:00:43.704336
SENSOR_2,25.77,2026-05-04T19:01:13.704336
SENSOR_10,50.12,2026-05-04T19:01:43.704336
SENSOR_8,90.39,2026-05-04T19:02:13.704336
SENSOR_3,21.45,2026-05-04T19:02:43.704336
SENSOR_4,31.12,2026-05-04T19:03:13.704336
SENSOR_9,78.93,2026-05-04T19:03:43.704336
SENSOR_5,93.26,2026-05-04T19:04:13.704336
SENSOR_5,73.73,2026-05-04T19:04:43.704336
SENSOR_6,31.27,2026-05-04T19:05:13.704336
SENSOR_9,92.32,2026-05-04T19:05:43.704336
SENSOR_2,72.75,2026-05-04T19:06:13.704336
SENSOR_7,22.35,2026-05-04T19:06:43.704336
SENSOR_7,55.78,2026-05-04T19:07:13.704336
SENSOR_10,74.92,2026-05-04T19:07:43.704336
SENSOR_1,49.79,2026-05-04T19:08:13.704336
SENSOR_1,31.98,2026-05-04T19:08:43.704336
SENSOR_4,49.93,2026-05-04T19:09:13.704336
SENSOR_4,31.34,2026-05-04T19:09:43.704336
SENSOR_10,78.99,2026-05-04T19:10:13.704336
SENSOR_5,60.17,2026-05-04T19:10:43.704336
SENSOR_1,71.72,2026-05-04T19:11:13.704336
SENSOR_1,91.23,2026-05-04T19:11:43.704336
SENSOR_8,54.31,2026-05-04T19:12:13.704336
SENSOR_7,62.03,2026-05-04T19:12:43.704336
SENSOR_8,77.76,2026-05-04T19:13:13.704336
SENSOR_3,74.56,2026-05-04T19:13:43.704336
SENSOR_2,42.63,2026-05-04T19:14:13.704336
SENSOR_9,70.04,2026-05-04T19:14:43.704336
SENSOR_10,94.81,2026-05-04T19:15:13.704336
SENSOR_3,90.35,2026-05-04T19:15:43.704336
SENSOR_10,45.96,2026-05-04T19:16:13.704336
SENSOR_5,47.0,2026-05-04T19:16:43.704336
SENSOR_5,90.44,2026-05-04T19:17:13.704336
SENSOR_3,33.59,2026-05-04T19:17:43.704336
SENSOR_6,35.62,2026-05-04T19:18:13.704336
SENSOR_10,23.17,2026-05-04T19:18:43.704336
SENSOR_4,94.18,2026-05-04T19:19:13.704336
SENSOR_1,43.66,2026-05-04T19:19:43.704336
SENSOR_3,26.79,2026-05-04T19:20:13.704336
SENSOR_2,68.08,2026-05-04T19:20:43.704336
SENSOR_3,32.14,2026-05-04T19:21:13.704336
SENSOR_10,57.46,2026-05-04T19:21:43.704336
SENSOR_2,37.2,2026-05-04T19:22:13.704336
SENSOR_6,70.61,2026-05-04T19:22:43.704336
SENSOR_10,29.64,2026-05-04T19:23:13.704336
SENSOR_4,40.53,2026-05-04T19:23:43.704336
SENSOR_2,65.21,2026-05-04T19:24:13.704336
SENSOR_10,26.41,2026-05-04T19:24:43.704336
SENSOR_10,73.78,2026-05-04T19:25:13.704336
SENSOR_10,91.59,2026-05-04T19:25:43.704336
SENSOR_2,31.41,2026-05-04T19:26:13.704336
SENSOR_3,40.68,2026-05-04T19:26:43.704336
SENSOR_3,65.96,2026-05-04T19:27:13.704336
SENSOR_5,21.62,2026-05-04T19:27:43.704336
SENSOR_2,38.35,2026-05-04T19:28:13.704336
SENSOR_9,49.53,2026-05-04T19:28:43.704336
SENSOR_1,30.78,2026-05-04T19:29:13.704336
SENSOR_10,56.76,2026-05-04T19:29:43.704336
SENSOR_9,59.07,2026-05-04T19:30:13.704336
SENSOR_2,46.87,2026-05-04T19:30:43.704336
SENSOR_3,90.88,2026-05-04T19:31:13.704336
SENSOR_7,83.73,2026-05-04T19:31:43.704336
SENSOR_6,33.2,2026-05-04T19:32:13.704336
SENSOR_3,84.08,2026-05-04T19:32:43.704336
SENSOR_1,54.25,2026-05-04T19:33:13.704336
SENSOR_4,47.32,2026-05-04T19:33:43.704336
SENSOR_2,62.11,2026-05-04T19:34:13.704336
SENSOR_8,52.53,2026-05-04T19:34:43.704336
SENSOR_9,95.33,2026-05-04T19:35:13.704336
SENSOR_9,30.86,2026-05-04T19:35:43.704336
SENSOR_10,65.94,2026-05-04T19:36:13.704336
SENSOR_4,47.99,2026-05-04T19:36:43.704336
SENSOR_4,74.92,2026-05-04T19:37:13.704336
SENSOR_7,30.08,2026-05-04T19:37:43.704336
SENSOR_5,23.56,2026-05-04T19:38:13.704336
SENSOR_4,34.02,2026-05-04T19:38:43.704336
SENSOR_9,40.12,2026-05-04T19:39:13.704336
SENSOR_2,21.84,2026-05-04T19:39:43.704336
SENSOR_8,77.68,2026-05-04T19:40:13.704336
SENSOR_6,47.92,2026-05-04T19:40:43.704336
SENSOR_6,37.54,2026-05-04T19:41:13.704336
SENSOR_10,81.21,2026-05-04T19:41:43.704336
SENSOR_1,30.22,2026-05-04T19:42:13.704336
SENSOR_4,52.58,2026-05-04T19:42:43.704336
SENSOR_8,67.31,2026-05-04T19:43:13.704336
SENSOR_1,82.17,2026-05-04T19:43:43.704336
SENSOR_9,94.02,2026-05-04T19:44:13.704336
SENSOR_4,32.62,2026-05-04T19:44:43.704336
SENSOR_5,82.91,2026-05-04T19:45:13.704336
SENSOR_2,38.73,2026-05-04T19:45:43.704336
SENSOR_9,93.63,2026-05-04T19:46:13.704336
SENSOR_4,61.91,2026-05-04T19:46:43.704336
SENSOR_8,26.91,2026-05-04T19:47:13.704336
SENSOR_2,67.43,2026-05-04T19:47:43.704336
SENSOR_10,41.4,2026-05-04T19:48:13.704336
SENSOR_4,91.58,2026-05-04T19:48:43.704336
SENSOR_4,52.49,2026-05-04T19:49:13.704336
SENSOR_7,30.38,2026-05-04T19:49:43.704336
SENSOR_1,93.4,2026-05-04T19:50:13.704336
SENSOR_6,98.43,2026-05-04T19:50:43.704336
SENSOR_6,57.42,2026-05-04T19:51:13.704336
SENSOR_8,93.64,2026-05-04T19:51:43.704336
SENSOR_9,26.8,2026-05-04T19:52:13.704336
SENSOR_5,22.76,2026-05-04T19:52:43.704336
SENSOR_4,99.65,2026-05-04T19:53:13.704336
SENSOR_1,41.39,2026-05-04T19:53:43.704336
SENSOR_7,72.34,2026-05-04T19:54:13.704336
SENSOR_2,62.85,2026-05-04T19:54:43.704336
SENSOR_6,41.57,2026-05-04T19:55:13.704336
SENSOR_10,78.39,2026-05-04T19:55:43.704336
SENSOR_10,92.96,2026-05-04T19:56:13.704336
SENSOR_8,51.57,2026-05-04T19:56:43.704336
SENSOR_6,66.56,2026-05-04T19:57:13.704336
SENSOR_4,57.31,2026-05-04T19:57:43.704336
SENSOR_10,60.17,2026-05-04T19:58:13.704336
SENSOR_6,61.25,2026-05-04T19:58:43.704336
SENSOR_1,77.3,2026-05-04T19:59:13.704336
SENSOR_4,24.15,2026-05-04T19:59:43.704336
SENSOR_6,94.81,2026-05-04T20:00:13.704336
SENSOR_9,81.87,2026-05-04T20:00:43.704336
SENSOR_3,31.24,2026-05-04T20:01:13.704336
SENSOR_2,73.7,2026-05-04T20:01:43.704336
SENSOR_2,50.26,2026-05-04T20:02:13.704336
SENSOR_1,86.09,2026-05-04T20:02:43.704336
SENSOR_10,78.32,2026-05-04T20:03:13.704336
SENSOR_4,84.55,2026-05-04T20:03:43.704336
SENSOR_5,31.08,2026-05-04T20:04:13.704336
SENSOR_1,75.87,2026-05-04T20:04:43.704336
SENSOR_1,36.26,2026-05-04T20:05:13.704336
SENSOR_8,40.6,2026-05-04T20:05:43.704336
SENSOR_5,54.56,2026-05-04T20:06:13.704336
SENSOR_1,65.13,2026-05-04T20:06:43.704336
SENSOR_3,83.15,2026-05-04T20:07:13.704336
SENSOR_1,72.3,2026-05-04T20:07:43.704336
SENSOR_8,21.83,2026-05-04T20:08:13.704336
SENSOR_7,78.87,2026-05-04T20:08:43.704336
SENSOR_9,55.25,2026-05-04T20:09:13.704336
SENSOR_10,26.7,2026-05-04T20:09:43.704336
SENSOR_6,81.27,2026-05-04T20:10:13.704336
SENSOR_2,80.0,2026-05-04T20:10:43.704336
SENSOR_5,38.08,2026-05-04T20:11:13.704336
SENSOR_9,93.68,2026-05-04T20:11:43.704336
SENSOR_2,53.84,2026-05-04T20:12:13.704336
SENSOR_3,59.14,2026-05-04T20:12:43.704336
SENSOR_7,33.76,2026-05-04T20:13:13.704336
SENSOR_9,96.36,2026-05-04T20:13:43.704336
SENSOR_8,22.07,2026-05-04T20:14:13.704336
SENSOR_4,73.94,2026-05-04T20:14:43.704336
SENSOR_5,20.87,2026-05-04T20:15:13.704336
SENSOR_6,52.51,2026-05-04T20:15:43.704336
SENSOR_9,72.1,2026-05-04T20:16:13.704336
SENSOR_9,75.54,2026-05-04T20:16:43.704336
SENSOR_9,25.85,2026-05-04T20:17:13.704336
SENSOR_10,33.13,2026-05-04T20:17:43.704336
SENSOR_3,44.17,2026-05-04T20:18:13.704336
SENSOR_3,78.93,2026-05-04T20:18:43.704336
SENSOR_3,30.07,2026-05-04T20:19:13.704336
SENSOR_10,43.3,2026-05-04T20:19:43.704336
SENSOR_5,33.03,2026-05-04T20:20:13.704336
SENSOR_5,49.54,2026-05-04T20:20:43.704336
SENSOR_10,26.51,2026-05-04T20:21:13.704336
SENSOR_7,45.98,2026-05-04T20:21:43.704336
SENSOR_8,33.9,2026-05-04T20:22:13.704336
SENSOR_9,63.48,2026-05-04T20:22:43.704336
SENSOR_1,55.73,2026-05-04T20:23:13.704336
SENSOR_10,95.26,2026-05-04T20:23:43.704336
SENSOR_4,23.43,2026-05-04T20:24:13.704336
SENSOR_7,22.04,2026-05-04T20:24:43.704336
SENSOR_5,56.25,2026-05-04T20:25:13.704336
SENSOR_5,64.15,2026-05-04T20:25:43.704336
SENSOR_9,85.05,2026-05-04T20:26:13.704336
SENSOR_8,33.24,2026-05-04T20:26:43.704336
SENSOR_6,96.36,2026-05-04T20:27:13.704336
SENSOR_8,55.83,2026-05-04T20:27:43.704336
SENSOR_4,94.69,2026-05-04T20:28:13.704336
SENSOR_7,56.83,2026-05-04T20:28:43.704336
SENSOR_1,97.11,2026-05-04T20:29:13.704336
SENSOR_2,80.96,2026-05-04T20:29:43.704336
SENSOR_6,83.51,2026-05-04T20:30:13.704336
SENSOR_7,58.37,2026-05-04T20:30:43.704336
SENSOR_4,47.67,2026-05-04T20:31:13.704336
SENSOR_6,20.36,2026-05-04T20:31:43.704336
SENSOR_3,37.53,2026-05-04T20:32:13.704336
SENSOR_10,99.46,2026-05-04T20:32:43.704336
SENSOR_7,78.92,2026-05-04T20:33:13.704336
SENSOR_3,42.99,2026-05-04T20:33:43.704336
SENSOR_8,66.22,2026-05-04T20:34:13.704336
SENSOR_2,45.43,2026-05-04T20:34:43.704336
SENSOR_4,89.84,2026-05-04T20:35:13.704336
SENSOR_1,39.07,2026-05-04T20:35:43.704336
SENSOR_7,93.72,2026-05-04T20:36:13.704336
SENSOR_10,57.01,2026-05-04T20:36:43.704336
SENSOR_8,45.76,2026-05-04T20:37:13.704336
SENSOR_3,86.76,2026-05-04T20:37:43.704336
SENSOR_3,90.5,2026-05-04T20:38:13.704336
SENSOR_1,82.69,2026-05-04T20:38:43.704336
SENSOR_7,63.17,2026-05-04T20:39:13.704336
SENSOR_6,35.04,2026-05-04T20:39:43.704336
SENSOR_5,56.68,2026-05-04T20:40:13.704336
SENSOR_7,57.34,2026-05-04T20:40:43.704336
SENSOR_6,78.83,2026-05-04T20:41:13.704336
SENSOR_5,54.6,2026-05-04T20:41:43.704336
SENSOR_6,64.5,2026-05-04T20:42:13.704336
SENSOR_1,82.71,2026-05-04T20:42:43.704336
SENSOR_3,47.55,2026-05-04T20:43:13.704336
SENSOR_3,70.11,2026-05-04T20:43:43.704336
SENSOR_6,75.8,2026-05-04T20:44:13.704336
SENSOR_2,56.65,2026-05-04T20:44:43.704336
SENSOR_1,55.66,2026-05-04T20:45:13.704336
SENSOR_10,44.88,2026-05-04T20:45:43.704336
SENSOR_3,89.76,2026-05-04T20:46:13.704336
SENSOR_3,63.95,2026-05-04T20:46:43.704336
SENSOR_7,64.34,2026-05-04T20:47:13.704336
SENSOR_10,46.0,2026-05-04T20:47:43.704336
SENSOR_3,60.66,2026-05-04T20:48:13.704336
SENSOR_2,95.43,2026-05-04T20:48:43.704336
SENSOR_9,43.26,2026-05-04T20:49:13.704336
SENSOR_1,71.79,2026-05-04T20:49:43.704336
SENSOR_1,75.56,2026-05-04T20:50:13.704336
SENSOR_2,87.52,2026-05-04T20:50:43.704336
SENSOR_1,96.36,2026-05-04T20:51:13.704336
SENSOR_8,63.83,2026-05-04T20:51:43.704336
SENSOR_10,41.56,2026-05-04T20:52:13.704336
SENSOR_6,78.9,2026-05-04T20:52:43.704336
SENSOR_10,29.73,2026-05-04T20:53:13.704336
SENSOR_2,99.24,2026-05-04T20:53:43.704336
SENSOR_6,58.55,2026-05-04T20:54:13.704336
SENSOR_9,84.36,2026-05-04T20:54:43.704336
SENSOR_9,64.08,2026-05-04T20:55:13.704336
SENSOR_2,30.8,2026-05-04T20:55:43.704336
SENSOR_8,27.57,2026-05-04T20:56:13.704336
SENSOR_10,97.76,2026-05-04T20:56:43.704336
SENSOR_6,32.5,2026-05-04T20:57:13.704336
SENSOR_8,73.18,2026-05-04T20:57:43.704336
SENSOR_6,66.12,2026-05-04T20:58:13.704336
SENSOR_8,72.88,2026-05-04T20:58:43.704336
SENSOR_2,29.11,2026-05-04T20:59:13.704336
SENSOR_7,79.75,2026-05-04T20:59:43.704336
SENSOR_1,73.68,2026-05-04T21:00:13.704336
SENSOR_7,57.01,2026-05-04T21:00:43.704336
SENSOR_1,59.3,2026-05-04T21:01:13.704336
SENSOR_4,96.83,2026-05-04T21:01:43.704336
SENSOR_3,69.65,2026-05-04T21:02:13.704336
SENSOR_6,31.71,2026-05-04T21:02:43.704336
SENSOR_7,67.46,2026-05-04T21:03:13.704336
SENSOR_4,71.57,2026-05-04T21:03:43.704336
SENSOR_8,90.94,2026-05-04T21:04:13.704336
SENSOR_6,33.93,2026-05-04T21:04:43.704336
SENSOR_2,86.96,2026-05-04T21:05:13.704336
SENSOR_7,87.29,2026-05-04T21:05:43.704336
SENSOR_1,59.92,2026-05-04T21:06:13.704336
SENSOR_7,62.92,2026-05-04T21:06:43.704336
SENSOR_10,24.13,2026-05-04T21:07:13.704336
SENSOR_8,68.29,2026-05-04T21:07:43.704336
SENSOR_8,21.44,2026-05-04T21:08:13.704336
SENSOR_10,29.51,2026-05-04T21:08:43.704336
SENSOR_7,31.31,2026-05-04T21:09:13.704336
SENSOR_1,23.73,2026-05-04T21:09:43.704336
SENSOR_8,48.61,2026-05-04T21:10:13.704336
SENSOR_4,68.17,2026-05-04T21:10:43.704336
SENSOR_4,47.73,2026-05-04T21:11:13.704336
SENSOR_8,29.9,2026-05-04T21:11:43.704336
SENSOR_7,44.01,2026-05-04T21:12:13.704336
SENSOR_4,84.31,2026-05-04T21:12:43.704336
SENSOR_9,59.22,2026-05-04T21:13:13.704336
SENSOR_9,63.6,2026-05-04T21:13:43.704336
SENSOR_6,41.17,2026-05-04T21:14:13.704336
SENSOR_1,42.72,2026-05-04T21:14:43.704336
SENSOR_3,74.19,2026-05-04T21:15:13.704336
SENSOR_2,41.97,2026-05-04T21:15:43.704336
SENSOR_2,61.11,2026-05-04T21:16:13.704336
SENSOR_8,90.49,2026-05-04T21:16:43.704336
SENSOR_3,89.91,2026-05-04T21:17:13.704336
SENSOR_8,54.13,2026-05-04T21:17:43.704336
SENSOR_9,44.6,2026-05-04T21:18:13.704336
SENSOR_10,75.82,2026-05-04T21:18:43.704336
SENSOR_5,85.68,2026-05-04T21:19:13.704336
SENSOR_3,47.97,2026-05-04T21:19:43.704336
SENSOR_4,74.52,2026-05-04T21:20:13.704336
SENSOR_3,40.82,2026-05-04T21:20:43.704336
SENSOR_8,72.32,2026-05-04T21:21:13.704336
SENSOR_3,41.4,2026-05-04T21:21:43.704336
SENSOR_5,29.22,2026-05-04T21:22:13.704336
SENSOR_8,32.89,2026-05-04T21:22:43.704336
SENSOR_5,86.3,2026-05-04T21:23:13.704336
SENSOR_2,22.43,2026-05-04T21:23:43.704336
SENSOR_3,54.92,2026-05-04T21:24:13.704336
SENSOR_9,58.66,2026-05-04T21:24:43.704336
SENSOR_7,58.52,2026-05-04T21:25:13.704336
SENSOR_2,21.86,2026-05-04T21:25:43.704336
SENSOR_5,99.87,2026-05-04T21:26:13.704336
SENSOR_9,83.91,2026-05-04T21:26:43.704336
SENSOR_5,82.22,2026-05-04T21:27:13.704336
SENSOR_5,43.86,2026-05-04T21:27:43.704336
SENSOR_6,59.31,2026-05-04T21:28:13.704336
SENSOR_2,54.06,2026-05-04T21:28:43.704336
SENSOR_6,49.64,2026-05-04T21:29:13.704336
SENSOR_1,35.35,2026-05-04T21:29:43.704336
SENSOR_9,36.2,2026-05-04T21:30:13.704336
SENSOR_8,91.89,2026-05-04T21:30:43.704336
SENSOR_2,76.9,2026-05-04T21:31:13.704336
SENSOR_1,78.08,2026-05-04T21:31:43.704336
SENSOR_3,43.58,2026-05-04T21:32:13.704336
SENSOR_1,91.54,2026-05-04T21:32:43.704336
SENSOR_7,28.47,2026-05-04T21:33:13.704336
SENSOR_7,97.4,2026-05-04T21:33:43.704336
SENSOR_9,54.82,2026-05-04T21:34:13.704336
SENSOR_1,67.52,2026-05-04T21:34:43.704336
SENSOR_9,90.09,2026-05-04T21:35:13.704336
SENSOR_5,97.62,2026-05-04T21:35:43.704336
SENSOR_1,77.88,2026-05-04T21:36:13.704336
SENSOR_7,68.54,2026-05-04T21:36:43.704336
SENSOR_1,32.56,2026-05-04T21:37:13.704336
SENSOR_3,50.18,2026-05-04T21:37:43.704336
SENSOR_6,40.99,2026-05-04T21:38:13.704336
SENSOR_2,93.87,2026-05-04T21:38:43.704336
SENSOR_9,33.63,2026-05-04T21:39:13.704336
SENSOR_10,45.03,2026-05-04T21:39:43.704336
SENSOR_5,58.85,2026-05-04T21:40:13.704336
SENSOR_8,81.64,2026-05-04T21:40:43.704336
SENSOR_6,76.91,2026-05-04T21:41:13.704336
SENSOR_10,29.64,2026-05-04T21:41:43.704336
SENSOR_4,66.61,2026-05-04T21:42:13.704336
SENSOR_3,57.3,2026-05-04T21:42:43.704336
SENSOR_9,83.7,2026-05-04T21:43:13.704336
SENSOR_4,74.96,2026-05-04T21:43:43.704336
SENSOR_4,49.07,2026-05-04T21:44:13.704336
SENSOR_6,59.62,2026-05-04T21:44:43.704336
SENSOR_4,57.48,2026-05-04T21:45:13.704336
SENSOR_10,95.5,2026-05-04T21:45:43.704336
SENSOR_4,92.13,2026-05-04T21:46:13.704336
SENSOR_9,32.3,2026-05-04T21:46:43.704336
SENSOR_9,35.81,2026-05-04T21:47:13.704336
SENSOR_3,56.2,2026-05-04T21:47:43.704336
SENSOR_1,76.92,2026-05-04T21:48:13.704336
SENSOR_9,78.62,2026-05-04T21:48:43.704336
SENSOR_3,88.02,2026-05-04T21:49:13.704336
SENSOR_10,40.28,2026-05-04T21:49:43.704336
SENSOR_10,80.21,2026-05-04T21:50:13.704336
SENSOR_8,69.31,2026-05-04T21:50:43.704336
SENSOR_4,30.58,2026-05-04T21:51:13.704336
SENSOR_2,59.0,2026-05-04T21:51:43.704336
SENSOR_6,39.78,2026-05-04T21:52:13.704336
SENSOR_2,70.36,2026-05-04T21:52:43.704336
SENSOR_7,69.35,2026-05-04T21:53:13.704336
SENSOR_8,70.82,2026-05-04T21:53:43.704336
SENSOR_5,59.97,2026-05-04T21:54:13.704336
SENSOR_4,59.66,2026-05-04T21:54:43.704336
SENSOR_10,88.2,2026-05-04T21:55:13.704336
SENSOR_5,71.78,2026-05-04T21:55:43.704336
SENSOR_6,72.85,2026-05-04T21:56:13.704336
SENSOR_4,31.32,2026-05-04T21:56:43.704336
SENSOR_8,78.76,2026-05-04T21:57:13.704336
SENSOR_9,95.31,2026-05-04T21:57:43.704336
SENSOR_5,27.12,2026-05-04T21:58:13.704336
SENSOR_1,22.78,2026-05-04T21:58:43.704336
